Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,52,Rückwärts,Rückwärts,True,8,ger,5. Rétrograde
1,1,51,Metaphorisch,Synchysis,False,8,ger,4. Métaphoriquement
1,1,48,Angaben,Angaben,True,8,ger,1. Notations
1,1,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
1,1,68,Distinguo,Synchysis,False,8,ger,21. Distinguo
1,1,56,Synchysis,Synchysis,True,8,ger,9. Synchyses
1,1,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
1,2,48,Angaben,Angaben,True,8,ger,1. Notations
1,2,52,Rückwärts,Rückwärts,True,8,ger,5. Rétrograde
1,2,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
1,2,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
1,2,51,Metaphorisch,Synchysis,False,8,ger,4. Métaphoriquement
1,2,56,Synchysis,Synchysis,True,8,ger,9. Synchyses
1,2,68,Distinguo,Synchysis,False,8,ger,21. Distinguo
1,3,56,Synchysis,Synchysis,True,8,ger,9. Synchyses
1,3,68,Distinguo,Synchysis,False,8,ger,21. Distinguo
1,3,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
1,3,52,Rückwärts,Rückwärts,True,8,ger,5. Rétrograde
1,3,48,Angaben,Angaben,True,8,ger,1. Notations
1,3,51,Metaphorisch,Rückwärts,False,8,ger,4. Métaphoriquement
1,3,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
2,1,66,Animismus,Animismus,True,8,ger,19. Animiste
2,1,50,Litotes,Die subjektive Seite,False,8,ger,3. Litotes
2,1,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
2,1,49,Verdopplung,Animismus,False,8,ger,2. En partie double
2,1,48,Angaben,Die subjektive Seite,False,8,ger,1. Notations
2,1,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
2,1,69,Homöoteleuton,Homöoteleuton,True,8,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,61,Die subjektive Seite,Die subjektive Seite,True,8,ger,14. Le côté subjectif
2,2,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
2,2,69,Homöoteleuton,Homöoteleuton,True,8,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,50,Litotes,Die subjektive Seite,False,8,ger,3. Litotes
2,2,66,Animismus,Animismus,True,8,ger,19. Animiste
2,2,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
2,2,49,Verdopplung,Die subjektive Seite,False,8,ger,2. En partie double
2,2,61,Die subjektive Seite,Die subjektive Seite,True,8,ger,14. Le côté subjectif
2,2,48,Angaben,Die subjektive Seite,False,8,ger,1. Notations
2,3,69,Homöoteleuton,Homöoteleuton,True,8,ger,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,50,Litotes,Die subjektive Seite,False,8,ger,3. Litotes
2,3,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
2,3,71,Klappentext,Klappentext,True,8,ger,24. Prière d'insérer
2,3,66,Animismus,Animismus,True,8,ger,19. Animiste
2,3,48,Angaben,Die subjektive Seite,False,8,ger,1. Notations
2,3,49,Verdopplung,Animismus,False,8,ger,2. En partie double
2,3,61,Die subjektive Seite,Die subjektive Seite,True,8,ger,14. Le côté subjectif
3,1,67,Anagramme,Wortkomposition,False,8,ger,20. Anagrammes
3,1,70,Amtlicher Brief,Amtlicher Brief,True,8,ger,23. Lettre officielle
3,1,68,Distinguo,Wortkomposition,False,8,ger,21. Distinguo
3,1,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
3,1,54,Traum,Traum,True,8,ger,7. Rêve
3,1,64,Wortkomposition,Wortkomposition,True,8,ger,17. Composition de mots
3,1,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
3,1,48,Angaben,Angaben,True,8,ger,1. Notations
3,2,64,Wortkomposition,Wortkomposition,True,8,ger,17. Composition de mots
3,2,48,Angaben,Angaben,True,8,ger,1. Notations
3,2,70,Amtlicher Brief,Amtlicher Brief,True,8,ger,23. Lettre officielle
3,2,54,Traum,Traum,True,8,ger,7. Rêve
3,2,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
3,2,67,Anagramme,Wortkomposition,False,8,ger,20. Anagrammes
3,2,68,Distinguo,Wortkomposition,False,8,ger,21. Distinguo
3,2,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
3,3,54,Traum,Traum,True,8,ger,7. Rêve
3,3,67,Anagramme,Wortkomposition,False,8,ger,20. Anagrammes
3,3,70,Amtlicher Brief,Amtlicher Brief,True,8,ger,23. Lettre officielle
3,3,55,Vorhersage,Vorhersage,True,8,ger,8. Pronostications
3,3,65,Negativitäten,Negativitäten,True,8,ger,18. Négativités
3,3,68,Distinguo,Wortkomposition,False,8,ger,21. Distinguo
3,3,48,Angaben,Angaben,True,8,ger,1. Notations
3,3,64,Wortkomposition,Wortkomposition,True,8,ger,17. Composition de mots
4,1,55,Vorhersage,Die subjektive Seite,False,8,ger,8. Pronostications
4,1,61,Die subjektive Seite,Die subjektive Seite,True,8,ger,14. Le côté subjectif
4,1,53,Überraschungen,Die subjektive Seite,False,8,ger,6. Surprises
4,1,62,Andere Subjektivität,Die subjektive Seite,False,8,ger,15. Autre subjectivité
4,1,48,Angaben,Andere Subjektivität,False,8,ger,1. Notations
4,1,56,Synchysis,Animismus,False,8,ger,9. Synchyses
