Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,164,Distingo,Sínquisis,False,10,spa,21. Distinguo
1,1,167,Propaganda editorial,Propaganda editorial,True,10,spa,24. Prière d'insérer
1,1,144,Notaciones,Notaciones,True,10,spa,1. Notations
1,1,148,Retrógrado,Notaciones,False,10,spa,5. Rétrograde
1,1,147,Metafóricamente,Notaciones,False,10,spa,4. Métaphoriquement
1,1,151,Pronosticaciones,Notaciones,False,10,spa,8. Pronostications
1,1,152,Sínquisis,Notaciones,False,10,spa,9. Synchyses
1,2,151,Pronosticaciones,Notaciones,False,10,spa,8. Pronostications
1,2,144,Notaciones,Notaciones,True,10,spa,1. Notations
1,2,167,Propaganda editorial,Propaganda editorial,True,10,spa,24. Prière d'insérer
1,2,148,Retrógrado,Notaciones,False,10,spa,5. Rétrograde
1,2,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
1,2,164,Distingo,Sínquisis,False,10,spa,21. Distinguo
1,2,147,Metafóricamente,Notaciones,False,10,spa,4. Métaphoriquement
1,3,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
1,3,147,Metafóricamente,Notaciones,False,10,spa,4. Métaphoriquement
1,3,164,Distingo,Sínquisis,False,10,spa,21. Distinguo
1,3,148,Retrógrado,Notaciones,False,10,spa,5. Rétrograde
1,3,167,Propaganda editorial,Propaganda editorial,True,10,spa,24. Prière d'insérer
1,3,151,Pronosticaciones,Notaciones,False,10,spa,8. Pronostications
1,3,144,Notaciones,Notaciones,True,10,spa,1. Notations
2,1,150,Sueño,Sueño,True,10,spa,7. Rêve
2,1,145,Por partida doble,Notaciones,False,10,spa,2. En partie double
2,1,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
2,1,161,Negatividades,Homeoteleutones,False,10,spa,18. Négativités
2,1,146,Lítotes,Por partida doble,False,10,spa,3. Litotes
2,1,165,Homeoteleutones,Sueño,False,10,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,162,Animismo,Homeoteleutones,False,10,spa,19. Animiste
2,1,167,Propaganda editorial,Por partida doble,False,10,spa,24. Prière d'insérer
2,1,157,Punto de vista subjetivo,Por partida doble,False,10,spa,14. Le côté subjectif
2,2,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
2,2,150,Sueño,Sueño,True,10,spa,7. Rêve
2,2,146,Lítotes,Por partida doble,False,10,spa,3. Litotes
2,2,145,Por partida doble,Notaciones,False,10,spa,2. En partie double
2,2,165,Homeoteleutones,Sueño,False,10,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,162,Animismo,Homeoteleutones,False,10,spa,19. Animiste
2,2,157,Punto de vista subjetivo,Por partida doble,False,10,spa,14. Le côté subjectif
2,2,167,Propaganda editorial,Punto de vista subjetivo,False,10,spa,24. Prière d'insérer
2,2,161,Negatividades,Homeoteleutones,False,10,spa,18. Négativités
2,3,165,Homeoteleutones,Sueño,False,10,spa,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,167,Propaganda editorial,Punto de vista subjetivo,False,10,spa,24. Prière d'insérer
2,3,157,Punto de vista subjetivo,Punto de vista subjetivo,True,10,spa,14. Le côté subjectif
2,3,150,Sueño,Sueño,True,10,spa,7. Rêve
2,3,145,Por partida doble,Homeoteleutones,False,10,spa,2. En partie double
2,3,161,Negatividades,Homeoteleutones,False,10,spa,18. Négativités
2,3,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
2,3,162,Animismo,Homeoteleutones,False,10,spa,19. Animiste
2,3,146,Lítotes,Por partida doble,False,10,spa,3. Litotes
3,1,160,Palabras compuestas,Palabras compuestas,True,10,spa,17. Composition de mots
3,1,144,Notaciones,Distingo,False,10,spa,1. Notations
3,1,151,Pronosticaciones,Sueño,False,10,spa,8. Pronostications
3,1,164,Distingo,Palabras compuestas,False,10,spa,21. Distinguo
3,1,161,Negatividades,Distingo,False,10,spa,18. Négativités
3,1,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
3,1,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
3,1,150,Sueño,Sueño,True,10,spa,7. Rêve
3,2,164,Distingo,Palabras compuestas,False,10,spa,21. Distinguo
3,2,151,Pronosticaciones,Sueño,False,10,spa,8. Pronostications
3,2,161,Negatividades,Distingo,False,10,spa,18. Négativités
3,2,144,Notaciones,Distingo,False,10,spa,1. Notations
3,2,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
3,2,160,Palabras compuestas,Palabras compuestas,True,10,spa,17. Composition de mots
3,2,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
3,2,150,Sueño,Sueño,True,10,spa,7. Rêve
3,3,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
3,3,151,Pronosticaciones,Sueño,False,10,spa,8. Pronostications
3,3,164,Distingo,Palabras compuestas,False,10,spa,21. Distinguo
3,3,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
3,3,161,Negatividades,Distingo,False,10,spa,18. Négativités
3,3,160,Palabras compuestas,Palabras compuestas,True,10,spa,17. Composition de mots
3,3,144,Notaciones,Distingo,False,10,spa,1. Notations
3,3,150,Sueño,Sueño,True,10,spa,7. Rêve
4,1,154,Logo-rallye,Notaciones,False,10,spa,11. Logo-rallye
4,1,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
4,1,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
4,1,149,Sorpresas,Punto de vista subjetivo,False,10,spa,6. Surprises
4,1,152,Sínquisis,Notaciones,False,10,spa,9. Synchyses
4,1,157,Punto de vista subjetivo,Punto de vista subjetivo,True,10,spa,14. Le côté subjectif
4,1,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,10,spa,15. Autre subjectivité
4,1,151,Pronosticaciones,Punto de vista subjetivo,False,10,spa,8. Pronostications
4,1,162,Animismo,Punto de vista subjetivo,False,10,spa,19. Animiste
4,2,157,Punto de vista subjetivo,Punto de vista subjetivo,True,10,spa,14. Le côté subjectif
4,2,152,Sínquisis,Notaciones,False,10,spa,9. Synchyses
4,2,149,Sorpresas,Punto de vista subjetivo,False,10,spa,6. Surprises
4,2,151,Pronosticaciones,Punto de vista subjetivo,False,10,spa,8. Pronostications
4,2,162,Animismo,Punto de vista subjetivo,False,10,spa,19. Animiste
4,2,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
4,2,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,10,spa,15. Autre subjectivité
4,2,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
4,2,154,Logo-rallye,Notaciones,False,10,spa,11. Logo-rallye
4,3,162,Animismo,Punto de vista subjetivo,False,10,spa,19. Animiste
4,3,157,Punto de vista subjetivo,Punto de vista subjetivo,True,10,spa,14. Le côté subjectif
4,3,154,Logo-rallye,Punto de vista subjetivo,False,10,spa,11. Logo-rallye
4,3,166,Carta oficial,Carta oficial,True,10,spa,23. Lettre officielle
4,3,144,Notaciones,Punto de vista subjetivo,False,10,spa,1. Notations
4,3,151,Pronosticaciones,Punto de vista subjetivo,False,10,spa,8. Pronostications
4,3,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
4,3,149,Sorpresas,Punto de vista subjetivo,False,10,spa,6. Surprises
4,3,158,Otro punto de vista subjetivo,Punto de vista subjetivo,False,10,spa,15. Autre subjectivité
5,1,154,Logo-rallye,Metafóricamente,False,10,spa,11. Logo-rallye
5,1,150,Sueño,Sueño,True,10,spa,7. Rêve
5,1,146,Lítotes,Vacilaciones,False,10,spa,3. Litotes
5,1,155,Vacilaciones,Vacilaciones,True,10,spa,12. Hésitations
5,1,147,Metafóricamente,Metafóricamente,True,10,spa,4. Métaphoriquement
5,1,152,Sínquisis,Vacilaciones,False,10,spa,9. Synchyses
5,1,148,Retrógrado,Vacilaciones,False,10,spa,5. Rétrograde
5,1,156,Precisiones,Precisiones,True,10,spa,13. Précisions
5,2,147,Metafóricamente,Metafóricamente,True,10,spa,4. Métaphoriquement
5,2,155,Vacilaciones,Vacilaciones,True,10,spa,12. Hésitations
5,2,150,Sueño,Sueño,True,10,spa,7. Rêve
5,2,146,Lítotes,Vacilaciones,False,10,spa,3. Litotes
5,2,148,Retrógrado,Vacilaciones,False,10,spa,5. Rétrograde
5,2,156,Precisiones,Precisiones,True,10,spa,13. Précisions
5,2,154,Logo-rallye,Metafóricamente,False,10,spa,11. Logo-rallye
5,2,152,Sínquisis,Vacilaciones,False,10,spa,9. Synchyses
5,3,146,Lítotes,Vacilaciones,False,10,spa,3. Litotes
5,3,152,Sínquisis,Vacilaciones,False,10,spa,9. Synchyses
5,3,155,Vacilaciones,Vacilaciones,True,10,spa,12. Hésitations
5,3,150,Sueño,Sueño,True,10,spa,7. Rêve
5,3,147,Metafóricamente,Sínquisis,False,10,spa,4. Métaphoriquement
5,3,148,Retrógrado,Vacilaciones,False,10,spa,5. Rétrograde
5,3,154,Logo-rallye,Metafóricamente,False,10,spa,11. Logo-rallye
5,3,156,Precisiones,Precisiones,True,10,spa,13. Précisions
6,1,156,Precisiones,Precisiones,True,10,spa,13. Précisions
6,1,145,Por partida doble,Precisiones,False,10,spa,2. En partie double
6,1,167,Propaganda editorial,Otro punto de vista subjetivo,False,10,spa,24. Prière d'insérer
6,1,146,Lítotes,Otro punto de vista subjetivo,False,10,spa,3. Litotes
6,1,158,Otro punto de vista subjetivo,Negatividades,False,10,spa,15. Autre subjectivité
6,1,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
6,1,147,Metafóricamente,Sínquisis,False,10,spa,4. Métaphoriquement
6,1,161,Negatividades,Sínquisis,False,10,spa,18. Négativités
6,1,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
6,2,156,Precisiones,Precisiones,True,10,spa,13. Précisions
6,2,146,Lítotes,Otro punto de vista subjetivo,False,10,spa,3. Litotes
6,2,145,Por partida doble,Otro punto de vista subjetivo,False,10,spa,2. En partie double
6,2,167,Propaganda editorial,Otro punto de vista subjetivo,False,10,spa,24. Prière d'insérer
6,2,147,Metafóricamente,Otro punto de vista subjetivo,False,10,spa,4. Métaphoriquement
6,2,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
6,2,161,Negatividades,Sínquisis,False,10,spa,18. Négativités
6,2,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
6,2,158,Otro punto de vista subjetivo,Negatividades,False,10,spa,15. Autre subjectivité
6,3,167,Propaganda editorial,Otro punto de vista subjetivo,False,10,spa,24. Prière d'insérer
6,3,147,Metafóricamente,Otro punto de vista subjetivo,False,10,spa,4. Métaphoriquement
6,3,158,Otro punto de vista subjetivo,Negatividades,False,10,spa,15. Autre subjectivité
6,3,156,Precisiones,Precisiones,True,10,spa,13. Précisions
6,3,152,Sínquisis,Sínquisis,True,10,spa,9. Synchyses
6,3,163,Anagramas,Anagramas,True,10,spa,20. Anagrammes
6,3,146,Lítotes,Otro punto de vista subjetivo,False,10,spa,3. Litotes
6,3,161,Negatividades,Sínquisis,False,10,spa,18. Négativités
6,3,145,Por partida doble,Precisiones,False,10,spa,2. En partie double
