Experiment,Story Index,True Label,Predicted Label,Similarity,Sample Label
1,63,haiku,Minimalist,0.8004623275827625,feminine
1,63,haiku,Fragmented,0.9314362983934998,feminine
1,63,haiku,Abstract,0.9008068991791776,feminine
1,63,haiku,Poetic,0.9495543990015319,feminine
1,63,haiku,Experimental,0.8834868422136215,feminine
1,4,retrograde,Narrative,0.8432546805115718,asides
1,4,retrograde,Observational,0.8686352209520901,asides
1,4,retrograde,Descriptive,0.7858816405096132,asides
1,4,retrograde,Third-person,0.7953059032067631,asides
1,4,retrograde,Concise,0.848309544295329,asides
1,79,opera English,Operatic,0.8541007327182351,narrative
1,79,opera English,Dramatic,0.8587021058489198,narrative
1,79,opera English,Satirical,0.8553187070706774,narrative
1,79,opera English,Theatrical,0.8148308331719243,narrative
1,79,opera English,Poetic,0.8642455019789814,narrative
1,25,logical analysis,Minimalist,0.8003094222806434,exclamations
1,25,logical analysis,Objective,0.8869799220741873,exclamations
1,25,logical analysis,Fragmented,0.866700310457272,exclamations
1,25,logical analysis,Observational,0.906583408706879,exclamations
1,25,logical analysis,Analytical,0.9279395503993239,exclamations
1,5,surprises,Narrative,0.966510568587988,rhyming slang
1,5,surprises,Judgmental,0.83545343773976,rhyming slang
1,5,surprises,Observational,0.9246181735983532,rhyming slang
1,5,surprises,Exclamatory,0.918905072332538,rhyming slang
1,5,surprises,Anecdotal,0.821512741378585,rhyming slang
1,93,interjections,Absurd,0.8569985446413037,comedy
1,93,interjections,Minimalist,0.782064832232446,comedy
1,93,interjections,Experimental,0.8398110080957747,comedy
1,93,interjections,Nonverbal,0.8628131552927212,comedy
1,93,interjections,Playful,0.8122263439261278,comedy
1,21,omeoptotes,Rhythmic,0.7879864255230398,feminine
1,21,omeoptotes,Alliterative,0.7822596597177612,feminine
1,21,omeoptotes,Playful,0.7972495779740373,feminine
1,21,omeoptotes,Poetic,0.8276037752142713,feminine
1,21,omeoptotes,Whimsical.,0.7902287312480304,feminine
1,23,blurb,Elegant,0.8560649898051459,comedy
1,23,blurb,Narrative,0.8900988583594686,comedy
1,23,blurb,Descriptive,0.8055137131380458,comedy
1,23,blurb,Literary,0.8976435096695299,comedy
1,23,blurb,Classic.,0.8873159717860903,comedy
1,19,anagrams,Nonsensical,0.8972718909325792,precious
1,19,anagrams,Playful,0.8709976832835187,precious
1,19,anagrams,Experimental,0.8949010489939828,precious
1,19,anagrams,Whimsical,0.9101393718411548,precious
1,19,anagrams,Surreal,0.8967717991636109,precious
1,78,more or less,Surreal,0.907376189609583,logical analysis
1,78,more or less,Playful,0.9086464952277847,logical analysis
1,78,more or less,Experimental,0.8660841073038139,logical analysis
1,78,more or less,Absurd,0.9210541378010144,logical analysis
1,78,more or less,Phonetic.,0.8664848998626722,logical analysis
1,28,past,Observational,0.9308666300765729,O
1,28,past,Prosaic,0.9468082211778889,O
1,28,past,Realistic,0.9438406735620383,O
1,28,past,Detached,0.934041584847106,O
1,28,past,Narrative,0.9582580223648052,O
1,47,philosophic,Philosophical,0.8598582956150936,omeoptotes
1,47,philosophic,Abstract,0.8286520441876148,omeoptotes
1,47,philosophic,Dense,0.7594470260028259,omeoptotes
1,47,philosophic,Esoteric,0.8873499500221111,omeoptotes
1,47,philosophic,Intellectual,0.8469558130508735,omeoptotes
1,42,cross-examination,interrogative,0.7176756468752921,precious
1,42,cross-examination,clinical,0.7560100994221746,precious
1,42,cross-examination,detached,0.734088202336054,precious
1,42,cross-examination,formal,0.7442882838127095,precious
1,42,cross-examination,procedural,0.7264544163953736,precious
1,90,portrait,Whimsical,0.9241525780875779,anagrams
1,90,portrait,Descriptive,0.7655652807818459,anagrams
1,90,portrait,Satirical,0.9088297802351748,anagrams
1,90,portrait,Zoological,0.9445013368744954,anagrams
1,90,portrait,Inventive,0.8749684994102641,anagrams
1,65,feminine,Chatty,0.8323603916459641,prosthesis
1,65,feminine,Humorous,0.9144555052712494,prosthesis
1,65,feminine,Observational,0.9079864243824639,prosthesis
1,65,feminine,Judgmental,0.8835798318264345,prosthesis
1,65,feminine,Conversational,0.921685552325591,prosthesis
1,36,syncope,Abstract,0.8951304683846253,O
1,36,syncope,Experimental,0.894210188046805,O
1,36,syncope,Fragmented,0.945528227057839,O
1,36,syncope,Surreal,0.928630807980621,O
1,36,syncope,Modernist,0.9263174457400266,O
1,43,comedy,Theatrical,0.8252171373889244,rhyming slang
1,43,comedy,Dialogic,0.8818193179747862,rhyming slang
1,43,comedy,Satirical,0.8826496414270334,rhyming slang
1,43,comedy,Dramatic,0.8679525552207735,rhyming slang
1,43,comedy,Prosaic,0.8531764578228468,rhyming slang
1,68,epenthesis,Surreal,0.8552297126808408,gastronomical
1,68,epenthesis,Experimental,0.9039833253520472,gastronomical
1,68,epenthesis,Absurd,0.8628813846429493,gastronomical
1,68,epenthesis,Phonetic,0.8833173896545926,gastronomical
1,68,epenthesis,Playful,0.8400710850288683,gastronomical
1,27,ignorance,Colloquial,0.8410659259324882,philosophic
1,27,ignorance,Casual,0.9523086417180948,philosophic
1,27,ignorance,Conversational,0.9357328338496166,philosophic
1,27,ignorance,Realistic,0.9530580679653087,philosophic
1,27,ignorance,Subjective,0.8923417295538558,philosophic
1,15,narrative,Observational,0.9467289340982143,comedy
1,15,narrative,Narrative,1.0,comedy
1,15,narrative,Descriptive,0.7480559694154942,comedy
1,15,narrative,Realistic,0.9637057703227259,comedy
1,15,narrative,Anecdotal,0.8605561656419227,comedy
1,60,O,Playful,0.8637840230047357,cross-examination
1,60,O,Rhythmic,0.8638227380737168,cross-examination
1,60,O,Poetic,0.8790149214752688,cross-examination
1,60,O,Whimsical,0.8677116215959929,cross-examination
1,60,O,Experimental,0.8502285998330508,cross-examination
1,34,apheresis,Fragmented,0.8980209059183343,blurb
1,34,apheresis,Experimental,0.9079728936984186,blurb
1,34,apheresis,Abstract,0.8990773259371734,blurb
1,34,apheresis,Minimalist,0.8042228590154556,blurb
1,34,apheresis,Cryptic,0.8862797891044522,blurb
1,66,gallicisms,Surreal,0.803456586116242,past
1,66,gallicisms,Playful,0.788669445164084,past
1,66,gallicisms,Inventive,0.8183926292475112,past
1,66,gallicisms,Whimsical,0.8239042282854597,past
1,66,gallicisms,Experimental,0.8230015231234401,past
1,75,back slang,Playful,0.9602111610585106,syncope
1,75,back slang,Inventive,0.9017876939465113,syncope
1,75,back slang,Whimsical,0.939174356903114,syncope
1,75,back slang,Lighthearted,0.8207244588039257,syncope
1,75,back slang,Creative,0.9464486895538917,syncope
1,95,unexpected,Dialogue,0.9287119239705535,reported speech
1,95,unexpected,Conversational,0.9310845748909274,reported speech
1,95,unexpected,Casual,0.9454955981912323,reported speech
1,95,unexpected,Informal,0.9715534465990983,reported speech
1,95,unexpected,Realistic,0.9494157505148179,reported speech
1,13,the subjective side,formal,0.9285182205753603,awkward
1,13,the subjective side,refined,0.9354667201001016,awkward
1,13,the subjective side,observational,0.9318348232884348,awkward
1,13,the subjective side,descriptive,0.7521487071881622,awkward
1,13,the subjective side,critical,0.9062637023023276,awkward
1,30,reported speech,Formal,0.9192080589739681,apheresis
1,30,reported speech,Detailed,0.9197196927795507,apheresis
1,30,reported speech,Observational,0.9248455846008841,apheresis
1,30,reported speech,Narrative,0.925380956876668,apheresis
1,30,reported speech,Descriptive,0.7725988320028695,apheresis
1,85,gastronomical,Colloquial,0.891564587576954,portrait
1,85,gastronomical,Humorous,0.9177394062838533,portrait
1,85,gastronomical,Metaphorical,0.938926564236448,portrait
1,85,gastronomical,Satirical,0.900374719433019,portrait
1,85,gastronomical,Descriptive,0.828296449713341,portrait
1,74,rhyming slang,Colloquial,0.9114230052844801,you know
1,74,rhyming slang,Slang,0.8682917178445065,you know
1,74,rhyming slang,British,0.8884717062403391,you know
1,74,rhyming slang,Informal,0.8949640953905402,you know
1,74,rhyming slang,Playful,0.8592848897188228,you know
1,10,word game,Whimsical,0.9354098294731182,precision
1,10,word game,Satirical,0.9086723136961055,precision
1,10,word game,Narrative,0.9446682414075535,precision
1,10,word game,Descriptive,0.7680326929219196,precision
1,10,word game,Humorous,0.9230655523851142,precision
1,86,zoological,Whimsical,0.9148419785541348,philosophic
1,86,zoological,Colloquial,0.8513223812329384,philosophic
1,86,zoological,Animalistic,0.7850650216280705,philosophic
1,86,zoological,Humorous,0.8839593329044438,philosophic
1,86,zoological,Metaphorical.,0.7460907067273185,philosophic
1,12,precision,Analytical,0.8986278617816746,logical analysis
1,12,precision,Precise,0.9907928273547273,logical analysis
1,12,precision,Quantitative,0.9731449252259671,logical analysis
1,12,precision,Detailed,0.9746236318344396,logical analysis
1,12,precision,Objective.,0.8736839900749469,logical analysis
1,16,word-composition,Surreal,0.7361076902740245,precision
1,16,word-composition,Neologistic,0.8056005007202321,precision
1,16,word-composition,Abstract,0.7903991366394236,precision
1,16,word-composition,Experimental,0.8362171138240503,precision
1,16,word-composition,Playful,0.7250590478033486,precision
1,80,for ze Frrensh,Phonetic,0.9027606069048218,reported speech
1,80,for ze Frrensh,Humorous,0.8862828228604324,reported speech
1,80,for ze Frrensh,Dialect,0.8605583725804178,reported speech
1,80,for ze Frrensh,Informal,0.9062788036858876,reported speech
1,80,for ze Frrensh,Playful,0.8994140845311712,reported speech
1,31,passive,Passive,0.9999999833761728,blurb
1,31,passive,Formal,0.9572971027640582,blurb
1,31,passive,Observational,0.9231421045194245,blurb
1,31,passive,Detached,0.9538375696282837,blurb
1,31,passive,Descriptive,0.7894425226378153,blurb
1,38,exclamations,Exclamatory,0.9181747452569641,gastronomical
1,38,exclamations,Conversational,0.8663221442894459,gastronomical
1,38,exclamations,Humorous,0.848518906067393,gastronomical
1,38,exclamations,Chaotic,0.8477320682740955,gastronomical
1,38,exclamations,Observational.,0.7762800049434109,gastronomical
1,82,botanical,Botanical,1.0,cockney
1,82,botanical,Metaphorical,0.8689362265204488,cockney
1,82,botanical,Poetic,0.8884794652290637,cockney
1,82,botanical,Descriptive,0.8403579084224868,cockney
1,82,botanical,Whimsical,0.8532716429431774,cockney
1,67,prosthesis,Experimental,0.7654815185240582,you know
1,67,prosthesis,Distorted,0.6996760828194745,you know
1,67,prosthesis,Surreal,0.7239809301695239,you know
1,67,prosthesis,Avant-garde,0.6039258635367801,you know
1,67,prosthesis,Unconventional,0.7137444569936168,you know
1,3,metaphorically,Surreal,0.9296315979181395,comedy
1,3,metaphorically,Poetic,0.9429797879993846,comedy
1,3,metaphorically,Abstract,0.9272863638526089,comedy
1,3,metaphorically,Symbolic,0.9564866894487172,comedy
1,3,metaphorically,Metaphorical.,0.8200415059545006,comedy
1,94,precious,Descriptive,0.7353875218474138,word-composition
1,94,precious,Elaborate,0.9820186929977585,word-composition
1,94,precious,Satirical,0.8898682026570208,word-composition
1,94,precious,Literary,0.964247751477376,word-composition
1,94,precious,Complex,0.9405179443596801,word-composition
1,83,medical,Clinical,0.9821905259159982,cockney
1,83,medical,Formal,0.9659905707122792,cockney
1,83,medical,Medical,1.0,cockney
1,83,medical,Detached,0.9584877631535784,cockney
1,83,medical,Technical,0.8963593922757557,cockney
1,22,official letter,Formal,0.9478054132639979,gallicisms
1,22,official letter,Detailed,0.970102522000119,gallicisms
1,22,official letter,Observational,0.9389441916497905,gallicisms
1,22,official letter,Polite,0.8801866980715013,gallicisms
1,22,official letter,Bureaucratic,0.9231145537965478,gallicisms
1,41,cockney,Dialect,0.89370259418654,epenthesis
1,41,cockney,Colloquial,0.8684198825429168,epenthesis
1,41,cockney,Humorous,0.9104881681980179,epenthesis
1,41,cockney,Informal,0.9211566713735218,epenthesis
1,41,cockney,Narrative.,0.867331688104894,epenthesis
1,49,awkward,rambling,0.8240209708641462,ignorance
1,49,awkward,self-deprecating,0.8474738725561684,ignorance
1,49,awkward,informal,0.9677929976984487,ignorance
1,49,awkward,meta,0.9512140801256664,ignorance
1,49,awkward,amateurish,0.85580609155479,ignorance
1,39,you know,Colloquial,0.847033846997808,portrait
1,39,you know,Conversational,0.9198810729933103,portrait
1,39,you know,Informal,0.9281608257630873,portrait
1,39,you know,Rambling,0.7755609456994169,portrait
1,39,you know,Casual,0.9168769619860982,portrait
1,48,apostrophe,Verbose,0.8691230813232389,comedy
1,48,apostrophe,Satirical,0.8448597967897413,comedy
1,48,apostrophe,Ornate,0.815614757052253,comedy
1,48,apostrophe,Mock-heroic,0.7796257454311114,comedy
1,48,apostrophe,Pompous,0.6868580249943328,comedy
1,1,double entry,Verbose,0.8908539946164556,apheresis
1,1,double entry,Redundant,0.9467987978817377,apheresis
1,1,double entry,Formal,0.9482582777917649,apheresis
1,1,double entry,Detailed,0.9655066442957644,apheresis
1,1,double entry,Observational,0.9357353205875887,apheresis
1,44,asides,Stream-of-consciousness,0.7696934483218372,unexpected
1,44,asides,Informal,0.8092263643653606,unexpected
1,44,asides,Subjective,0.830800693077403,unexpected
1,44,asides,Fragmented,0.7840828699432758,unexpected
1,44,asides,Observational,0.7976434239469298,unexpected
