Experiment,Iteration,Story Index,True Label,Predicted Label,Correct,Label Space Size,Language Code,Universal Label
1,1,168,Minnispunktar,Á líkindamáli,False,10,isl,1. Notations
1,1,176,Orðabrengl,Á líkindamáli,False,10,isl,9. Synchyses
1,1,191,Kynningarbréf,Kynningarbréf,True,10,isl,24. Prière d'insérer
1,1,175,Spádómar,Á líkindamáli,False,10,isl,8. Pronostications
1,1,172,Aftur á bak,Á líkindamáli,False,10,isl,5. Rétrograde
1,1,171,Á líkindamáli,Orðabrengl,False,10,isl,4. Métaphoriquement
1,1,188,Distinguo,Á líkindamáli,False,10,isl,21. Distinguo
1,2,171,Á líkindamáli,Orðabrengl,False,10,isl,4. Métaphoriquement
1,2,191,Kynningarbréf,Kynningarbréf,True,10,isl,24. Prière d'insérer
1,2,168,Minnispunktar,Á líkindamáli,False,10,isl,1. Notations
1,2,175,Spádómar,Á líkindamáli,False,10,isl,8. Pronostications
1,2,172,Aftur á bak,Á líkindamáli,False,10,isl,5. Rétrograde
1,2,176,Orðabrengl,Á líkindamáli,False,10,isl,9. Synchyses
1,2,188,Distinguo,Á líkindamáli,False,10,isl,21. Distinguo
1,3,168,Minnispunktar,Á líkindamáli,False,10,isl,1. Notations
1,3,176,Orðabrengl,Á líkindamáli,False,10,isl,9. Synchyses
1,3,172,Aftur á bak,Á líkindamáli,False,10,isl,5. Rétrograde
1,3,188,Distinguo,Á líkindamáli,False,10,isl,21. Distinguo
1,3,191,Kynningarbréf,Kynningarbréf,True,10,isl,24. Prière d'insérer
1,3,175,Spádómar,Á líkindamáli,False,10,isl,8. Pronostications
1,3,171,Á líkindamáli,Orðabrengl,False,10,isl,4. Métaphoriquement
2,1,191,Kynningarbréf,Huglæga hliðin,False,10,isl,24. Prière d'insérer
2,1,169,Í tvöföldum leik,Andatrú,False,10,isl,2. En partie double
2,1,181,Huglæga hliðin,Huglæga hliðin,True,10,isl,14. Le côté subjectif
2,1,174,Draumur,Draumur,True,10,isl,7. Rêve
2,1,170,Útdráttur,Andatrú,False,10,isl,3. Litotes
2,1,185,Neitanir,Síbylja,False,10,isl,18. Négativités
2,1,186,Andatrú,Andatrú,True,10,isl,19. Animiste
2,1,189,Síbylja,Síbylja,True,10,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,1,168,Minnispunktar,Síbylja,False,10,isl,1. Notations
2,2,186,Andatrú,Andatrú,True,10,isl,19. Animiste
2,2,169,Í tvöföldum leik,Andatrú,False,10,isl,2. En partie double
2,2,189,Síbylja,Síbylja,True,10,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,2,185,Neitanir,Síbylja,False,10,isl,18. Négativités
2,2,174,Draumur,Draumur,True,10,isl,7. Rêve
2,2,168,Minnispunktar,Síbylja,False,10,isl,1. Notations
2,2,191,Kynningarbréf,Huglæga hliðin,False,10,isl,24. Prière d'insérer
2,2,181,Huglæga hliðin,Huglæga hliðin,True,10,isl,14. Le côté subjectif
2,2,170,Útdráttur,Andatrú,False,10,isl,3. Litotes
2,3,169,Í tvöföldum leik,Andatrú,False,10,isl,2. En partie double
2,3,191,Kynningarbréf,Huglæga hliðin,False,10,isl,24. Prière d'insérer
2,3,186,Andatrú,Andatrú,True,10,isl,19. Animiste
2,3,168,Minnispunktar,Andatrú,False,10,isl,1. Notations
2,3,185,Neitanir,Síbylja,False,10,isl,18. Négativités
2,3,170,Útdráttur,Andatrú,False,10,isl,3. Litotes
2,3,181,Huglæga hliðin,Huglæga hliðin,True,10,isl,14. Le côté subjectif
2,3,189,Síbylja,Síbylja,True,10,isl,22. Homéoptotes (1947) / Homéotéleutes (1976)
2,3,174,Draumur,Draumur,True,10,isl,7. Rêve
3,1,187,Anagramm,Orðatilbúningur,False,10,isl,20. Anagrammes
3,1,190,Opinbert bréf,Opinbert bréf,True,10,isl,23. Lettre officielle
3,1,174,Draumur,Draumur,True,10,isl,7. Rêve
3,1,185,Neitanir,Neitanir,True,10,isl,18. Négativités
3,1,184,Orðatilbúningur,Orðatilbúningur,True,10,isl,17. Composition de mots
3,1,168,Minnispunktar,Minnispunktar,True,10,isl,1. Notations
3,1,188,Distinguo,Orðatilbúningur,False,10,isl,21. Distinguo
3,1,175,Spádómar,Spádómar,True,10,isl,8. Pronostications
3,2,174,Draumur,Draumur,True,10,isl,7. Rêve
3,2,187,Anagramm,Orðatilbúningur,False,10,isl,20. Anagrammes
3,2,175,Spádómar,Spádómar,True,10,isl,8. Pronostications
3,2,184,Orðatilbúningur,Orðatilbúningur,True,10,isl,17. Composition de mots
3,2,190,Opinbert bréf,Opinbert bréf,True,10,isl,23. Lettre officielle
3,2,188,Distinguo,Orðatilbúningur,False,10,isl,21. Distinguo
3,2,185,Neitanir,Neitanir,True,10,isl,18. Négativités
3,2,168,Minnispunktar,Neitanir,False,10,isl,1. Notations
3,3,185,Neitanir,Neitanir,True,10,isl,18. Négativités
3,3,188,Distinguo,Orðatilbúningur,False,10,isl,21. Distinguo
3,3,174,Draumur,Draumur,True,10,isl,7. Rêve
3,3,184,Orðatilbúningur,Orðatilbúningur,True,10,isl,17. Composition de mots
3,3,175,Spádómar,Spádómar,True,10,isl,8. Pronostications
