Experiment,Story Index,True Label,Predicted Label,Correct,Label Space Size
1,53,olfactory,olfactory,True,14
1,49,awkward,gallicisms,False,14
1,38,exclamations,exclamations,True,14
1,65,feminine,feminine,True,14
1,27,ignorance,ignorance,True,14
1,75,back slang,back slang,True,14
1,62,reactionary,negativities,False,14
1,17,negativities,polyptotes,False,14
1,51,biased,surprises,False,14
1,63,haiku,haiku,True,14
1,33,polyptotes,biased,False,14
1,5,surprises,awkward,False,14
1,45,parechesis,UNASSIGNED,False,14
2,69,paragoge,negativities,False,14
2,39,you know,for ze Frrensh,False,14
2,32,alexandrines,alexandrines,True,14
2,88,modern style,modern style,True,14
2,17,negativities,precision,False,14
2,94,precious,syncope,False,14
2,78,more or less,paragoge,False,14
2,12,precision,mathematical,False,14
2,42,cross-examination,cross-examination,True,14
2,80,for ze Frrensh,more or less,False,14
2,18,minimism,minimism,True,14
3,62,reactionary,reactionary,True,14
3,56,visual,botanical,False,14
3,45,parechesis,polyptotes,False,14
3,72,consequences,precision,False,14
3,33,polyptotes,parechesis,False,14
3,82,botanical,metathesis,False,14
3,67,prosthesis,tactile,False,14
3,26,insistence,opera English,False,14
3,61,hellenisms,hellenisms,True,14
3,71,metathesis,prosthesis,False,14
3,40,noble,insistence,False,14
3,12,precision,consequences,False,14
3,55,tactile,UNASSIGNED,False,14
4,71,metathesis,spoonerisms,False,14
4,51,biased,passive,False,14
4,31,passive,double entry,False,14
4,86,zoological,zoological,True,14
4,7,prognostication,prognostication,True,14
4,93,interjections,interjections,True,14
4,79,opera English,opera English,True,14
4,1,double entry,metathesis,False,14
4,64,free verse,free verse,True,14
4,81,spoonerisms,biased,False,14
4,11,hesitation,hesitation,True,14
4,0,notation,notation,True,14
4,42,cross-examination,UNASSIGNED,False,14
5,41,cockney,cockney,True,14
5,30,reported speech,reported speech,True,14
5,24,onomatopoeia,onomatopoeia,True,14
5,73,proper names,proper names,True,14
5,11,hesitation,noble,False,14
5,94,precious,synchysis,False,14
5,57,auditory,auditory,True,14
5,10,word game,minimism,False,14
5,40,noble,precious,False,14
5,70,parts of speech,parts of speech,True,14
5,18,minimism,hesitation,False,14
5,8,synchysis,word game,False,14
6,66,gallicisms,metath,False,14
7,49,awkward,hesitation,False,14
7,37,speaking personally,speaking personally,True,14
7,30,reported speech,reported speech,True,14
7,77,dog latin,dog latin,True,14
7,23,blurb,blurb,True,14
7,85,gastronomical,gastronomical,True,14
7,56,visual,visual,True,14
7,11,hesitation,retrograde,False,14
7,40,noble,noble,True,14
7,74,rhyming slang,rhyming slang,True,14
7,24,onomatopoeia,onomatopoeia,True,14
7,4,retrograde,12:,False,14
8,68,epenthesis,futile,False,14
8,50,casual,casual,True,14
8,16,word-composition,hellenisms,False,14
8,88,modern style,hesitation,False,14
8,10,word game,word-composition,False,14
8,91,mathematical,mathematical,True,14
8,70,parts of speech,parts of speech,True,14
8,8,synchysis,retrograde,False,14
8,61,hellenisms,epenthesis,False,14
8,87,futile,portrait,False,14
8,11,hesitation,synchysis,False,14
8,4,retrograde,anagrams,False,14
9,75,back slang,back slang,True,14
9,64,free verse,free verse,True,14
9,53,olfactory,olfactory,True,14
9,85,gastronomical,gastronomical,True,14
9,35,apocope,reported speech,False,14
9,90,portrait,portrait,True,14
9,76,antiphrasis,futile,False,14
9,30,reported speech,medical,False,14
9,67,prosthesis,parechesis,False,14
9,83,medical,antiphrasis,False,14
