Experiment,Story Index,True Label,Predicted Label,Correct,Label Space Size
1,73,proper names,proper names,True,8
1,17,negativities,synchysis,False,8
1,15,narrative,narrative,True,8
1,64,free verse,free verse,True,8
1,8,synchysis,negativities,False,8
1,57,auditory,auditory,True,8
1,32,alexandrines,alexandrines,True,8
1,61,hellenisms,hellenisms,True,8
2,84,abusive,abusive,True,8
2,26,insistence,insistence,True,8
2,12,precision,precision,True,8
2,63,haiku,haiku,True,8
2,3,metaphorically,metaphorically,True,8
2,49,awkward,awkward,True,8
2,48,apostrophe,apostrophe,True,8
2,55,tactile,tactile,True,8
3,93,interjections,interjections,True,8
3,34,apheresis,apheresis,True,8
3,29,present,portrait,False,8
3,90,portrait,notation,False,8
3,0,notation,present,False,8
3,76,antiphrasis,more or less,False,8
3,57,auditory,auditory,True,8
3,78,more or less,antiphrasis,False,8
4,84,abusive,abusive,True,8
4,3,metaphorically,metaphorically,True,8
4,2,litotes,the subjective side,False,8
4,70,parts of speech,parts of speech,True,8
4,1,double entry,litotes,False,8
4,40,noble,apostrophe,False,8
4,13,the subjective side,noble,False,8
4,48,apostrophe,double entry,False,8
5,93,interjections,interjections,True,8
5,28,past,past,True,8
5,27,ignorance,ignorance,True,8
5,88,modern style,metaphorically,False,8
5,3,metaphorically,gustatory,False,8
5,56,visual,visual,True,8
5,54,gustatory,epenthesis,False,8
5,68,epenthesis,modern style,False,8
6,87,futile,present,False,8
6,37,speaking personally,speaking personally,True,8
6,29,present,telegraphic,False,8
6,71,metathesis,metathesis,True,8
6,28,past,free verse,False,8
6,58,telegraphic,futile,False,8
6,44,asides,asides,True,8
6,64,free verse,past,False,8
7,93,interjections,interjections,True,8
7,23,blurb,blurb,True,8
7,12,precision,precision,True,8
7,83,medical,medical,True,8
7,2,litotes,consequences,False,8
7,72,consequences,spoonerisms,False,8
7,53,olfactory,olfactory,True,8
7,81,spoonerisms,litotes,False,8
8,93,interjections,interjections,True,8
8,42,cross-examination,cross-examination,True,8
8,37,speaking personally,speaking personally,True,8
8,92,west indian,west indian,True,8
8,15,narrative,narrative,True,8
8,65,feminine,feminine,True,8
8,54,gustatory,gustatory,True,8
8,86,zoological,zoological,True,8
9,76,antiphrasis,syncope,False,8
9,36,syncope,retrograde,False,8
9,24,onomatopoeia,onomatopoeia,True,8
9,65,feminine,feminine,True,8
9,4,retrograde,antiphrasis,False,8
9,50,casual,casual,True,8
9,38,exclamations,exclamations,True,8
9,64,free verse,free verse,True,8
10,86,zoological,zoological,True,8
10,46,spectral,official letter,False,8
10,31,passive,passive,True,8
10,71,metathesis,metathesis,True,8
10,22,official letter,biased,False,8
10,53,olfactory,olfactory,True,8
10,51,biased,reactionary,False,8
10,62,reactionary,spectral,False,8
11,95,unexpected,gallicisms,False,8
11,56,visual,visual,True,8
11,47,philosophic,philosophic,True,8
11,90,portrait,portrait,True,8
11,11,hesitation,unexpected,False,8
11,85,gastronomical,gastronomical,True,8
11,66,gallicisms,hesitations,False,8
11,87,futile,futile,True,8
12,94,precious,the subjective side,False,8
12,20,distinguo,casual,False,8
12,13,the subjective side,distinguo,False,8
12,67,prosthesis,haiku,False,8
12,3,metaphorically,metaphorically,True,8
12,50,casual,precious,False,8
12,47,philosophic,philosophic,True,8
12,63,haiku,prosthesis,False,8
13,91,mathematical,mathematical,True,8
13,50,casual,casual,True,8
13,39,you know,you know,True,8
13,79,opera English,opera English,True,8
13,5,surprises,surprises,True,8
13,75,back slang,back slang,True,8
13,61,hellenisms,hellenisms,True,8
